color	from	name	x	y	z
0		Pelvis	0.0	-423.0	43.0
5	Pelvis	Spine1	0.0	-371.0	65.0
9	Spine1	Spine2	0.0	-274.0	83.0
13	Spine2	Spine3	0.0	-193.0	80.0
17	Spine3	Spine4	0.0	-38.0	25.0
1	Spine4	LeftShoulder	30.0	-65.0	5.0
2	LeftShoulder	LeftArm	127.0	-65.0	5.0
3	LeftArm	LeftForeArm	150.0	-259.0	9.0
4	LeftForeArm	LeftHand	162.0	-463.0	42.0
5	LeftHand	LeftHandThumb1	153.0	-473.0	64.0
6	LeftHandThumb1	LeftHandThumb2	145.0	-496.0	79.0
7	LeftHandThumb2	LeftHandThumb3	137.0	-519.0	94.0
8	LeftHandThumb3	LeftHandThumb4	129.0	-542.0	109.0
9	LeftHand	LeftHandIndex1	169.0	-536.0	66.0
10	LeftHandIndex1	LeftHandIndex2	160.0	-567.0	70.0
11	LeftHandIndex2	LeftHandIndex3	151.0	-589.0	72.0
12	LeftHandIndex3	LeftHandIndex4	139.0	-608.0	74.0
13	LeftHand	LeftHandMiddle1	165.0	-537.0	49.0
14	LeftHandMiddle1	LeftHandMiddle2	158.0	-571.0	54.0
15	LeftHandMiddle2	LeftHandMiddle3	145.0	-599.0	59.0
16	LeftHandMiddle3	LeftHandMiddle4	132.0	-616.0	63.0
17	LeftHand	LeftHandRing1	159.0	-537.0	32.0
18	LeftHandRing1	LeftHandRing2	149.0	-568.0	36.0
19	LeftHandRing2	LeftHandRing3	141.0	-590.0	40.0
20	LeftHandRing3	LeftHandRing4	130.0	-613.0	44.0
21	LeftHand	LeftHandPinky1	148.0	-534.0	20.0
22	LeftHandPinky1	LeftHandPinky2	142.0	-559.0	23.0
23	LeftHandPinky2	LeftHandPinky3	136.0	-578.0	27.0
24	LeftHandPinky3	LeftHandPinky4	128.0	-596.0	31.0
1	Spine4	RightShoulder	-29.0	-65.0	4.0
2	RightShoulder	RightArm	-127.0	-65.0	4.0
3	RightArm	RightForeArm	-147.0	-260.0	8.0
4	RightForeArm	RightHand	-154.0	-463.0	45.0
5	RightHand	RightHandThumb1	-145.0	-472.0	67.0
6	RightHandThumb1	RightHandThumb2	-138.0	-495.0	83.0
7	RightHandThumb2	RightHandThumb3	-131.0	-519.0	99.0
8	RightHandThumb3	RightHandThumb4	-123.0	-541.0	114.0
9	RightHand	RightHandIndex1	-163.0	-535.0	70.0
10	RightHandIndex1	RightHandIndex2	-155.0	-567.0	75.0
11	RightHandIndex2	RightHandIndex3	-145.0	-588.0	78.0
12	RightHandIndex3	RightHandIndex4	-132.0	-606.0	80.0
13	RightHand	RightHandMiddle1	-159.0	-537.0	54.0
14	RightHandMiddle1	RightHandMiddle2	-149.0	-570.0	59.0
15	RightHandMiddle2	RightHandMiddle3	-140.0	-599.0	64.0
16	RightHandMiddle3	RightHandMiddle4	-128.0	-617.0	68.0
17	RightHand	RightHandRing1	-152.0	-537.0	37.0
18	RightHandRing1	RightHandRing2	-143.0	-568.0	42.0
19	RightHandRing2	RightHandRing3	-135.0	-590.0	46.0
20	RightHandRing3	RightHandRing4	-123.0	-612.0	51.0
21	RightHand	RightHandPinky1	-142.0	-534.0	24.0
22	RightHandPinky1	RightHandPinky2	-138.0	-560.0	28.0
23	RightHandPinky2	RightHandPinky3	-134.0	-579.0	33.0
24	RightHandPinky3	RightHandPinky4	-126.0	-597.0	39.0
21	Spine4	Neck	0.0	-10.0	24.0
0	Neck	Head	0.0	288.0	34.0
